FREQ,ANGLE,PHASE,AMPLITUDE,FWHM,THETA_CUT,THETA_MAX,DATASET,PHASE_SM
0.9,-0.2399827721492203,-0.5866226148878138,-9.606000000000002,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.5864589166039451
0.9,-0.2356194490192345,-0.5700768935789078,-9.211000000000002,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.5704900367531501
0.9,-0.23125612588924868,-0.5541943973857593,-8.845000000000002,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.5545941235153533
0.9,-0.22689280275926285,-0.5388005933831692,-8.494,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.5387711768905544
0.9,-0.22252947962927702,-0.5223944984144226,-8.129999999999999,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.5230211968787536
0.9,-0.21816615649929122,-0.5073846668472715,-7.760000000000002,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.5073441834799508
0.9,-0.2138028333693054,-0.4921130358923209,-7.365000000000002,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.4917401366941462
0.9,-0.20943951023931956,-0.477661709685808,-6.994,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.4762090565213395
0.9,-0.20507618710933373,-0.4618490266627393,-6.649000000000001,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.46075094296153085
0.9,-0.2007128639793479,-0.4451811323061934,-6.324999999999999,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.44536579601472037
0.9,-0.1963495408493621,-0.4294906223307644,-6.029,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.4223808583453768
0.9,-0.19198621771937627,-0.41479495002897204,-5.751000000000001,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.40711638059592126
0.9,-0.18762289458939044,-0.39983747833938077,-5.4830000000000005,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.39191488675473746
0.9,-0.1832595714594046,-0.3848451000647495,-5.222000000000001,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.37677839320599926
0.9,-0.17889624832941878,-0.36898005716412086,-4.957000000000001,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.3617117921604885
0.9,-0.17453292519943298,-0.3533419070662518,-4.727,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.3468215024249075
0.9,-0.17016960206944715,-0.33866368805697955,-4.535,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.3321395679798789
0.9,-0.16580627893946132,-0.324683600748505,-4.3770000000000024,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.31773582182876947
0.9,-0.16144295580947549,-0.3106686068549904,-4.193000000000001,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.303470313687733
0.9,-0.15707963267948968,-0.29668851954651587,-3.993000000000002,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.28917252356663015
0.9,-0.15271630954950385,-0.2819753939522036,-3.775000000000002,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.2748927751255602
0.9,-0.14835298641951802,-0.2675415210382106,-3.5630000000000024,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.26077160042478703
0.9,-0.1439896632895322,-0.25359634031477607,-3.3610000000000007,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.24681935244010084
0.9,-0.13962634015954636,-0.24057618409489812,-3.1690000000000005,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.23308116512151436
0.9,-0.13526301702956056,-0.2267182698340633,-2.975999999999999,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.21935007150856184
0.9,-0.13089969389957473,-0.21287780886574836,-2.7929999999999993,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.20552092873600208
0.9,-0.1265363707695889,-0.1984439359517549,-2.620000000000001,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.1915927583616786
0.9,-0.12217304763960307,-0.18394024986768231,-2.4460000000000015,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.17763178373073243
0.9,-0.11780972450961724,-0.16987289609660783,-2.276,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.16361280995763564
0.9,-0.11344640137963143,-0.1568876464617701,-2.1159999999999997,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.14952530556701557
0.9,-0.1090830782496456,-0.14411183633717162,-1.9619999999999997,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.13544313633058613
0.9,-0.10471975511965977,-0.13060298792673541,-1.8079999999999998,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.12144777078006089
0.9,-0.10035643198967395,-0.11662290061826108,-1.6590000000000025,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.10761658517894485
0.9,-0.09599310885968812,-0.10140362954087045,-1.5060000000000002,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.09407897189132897
