DATASET,WEIGHT,SMOOTH,FREQ,ANGLE,PHASE,PREDICTED
Horizontal_Copolar,Amplitude,False,0.9,-0.2399827721492203,-0.5866226148878138,-0.6432452380243312
Horizontal_Copolar,Amplitude,False,0.9,-0.2356194490192345,-0.5700768935789078,-0.6194359226104496
Horizontal_Copolar,Amplitude,False,0.9,-0.23125612588924868,-0.5541943973857593,-0.5960713257449157
Horizontal_Copolar,Amplitude,False,0.9,-0.22689280275926285,-0.5388005933831692,-0.5731518922559751
Horizontal_Copolar,Amplitude,False,0.9,-0.22252947962927702,-0.5223944984144226,-0.5506780584966116
Horizontal_Copolar,Amplitude,False,0.9,-0.21816615649929122,-0.5073846668472715,-0.5286502523362095
Horizontal_Copolar,Amplitude,False,0.9,-0.2138028333693054,-0.4921130358923209,-0.5070688931524572
Horizontal_Copolar,Amplitude,False,0.9,-0.20943951023931956,-0.477661709685808,-0.48593439182332077
Horizontal_Copolar,Amplitude,False,0.9,-0.20507618710933373,-0.4618490266627393,-0.46524715071924305
Horizontal_Copolar,Amplitude,False,0.9,-0.2007128639793479,-0.4451811323061934,-0.44500756369547645
Horizontal_Copolar,Amplitude,False,0.9,-0.1963495408493621,-0.4294906223307644,-0.42521601608457615
Horizontal_Copolar,Amplitude,False,0.9,-0.19198621771937627,-0.41479495002897204,-0.40587288468908156
Horizontal_Copolar,Amplitude,False,0.9,-0.18762289458939044,-0.39983747833938077,-0.3869785377743362
Horizontal_Copolar,Amplitude,False,0.9,-0.1832595714594046,-0.3848451000647495,-0.3685333350614677
Horizontal_Copolar,Amplitude,False,0.9,-0.17889624832941878,-0.36898005716412086,-0.35053762772054853
Horizontal_Copolar,Amplitude,False,0.9,-0.17453292519943298,-0.3533419070662518,-0.3329917583639066
Horizontal_Copolar,Amplitude,False,0.9,-0.17016960206944715,-0.33866368805697955,-0.3158960610395951
Horizontal_Copolar,Amplitude,False,0.9,-0.16580627893946132,-0.324683600748505,-0.2992508612250582
Horizontal_Copolar,Amplitude,False,0.9,-0.16144295580947549,-0.3106686068549904,-0.2830564758209029
Horizontal_Copolar,Amplitude,False,0.9,-0.15707963267948968,-0.29668851954651587,-0.267313213144881
Horizontal_Copolar,Amplitude,False,0.9,-0.15271630954950385,-0.2819753939522036,-0.25202137292602345
Horizontal_Copolar,Amplitude,False,0.9,-0.14835298641951802,-0.2675415210382106,-0.23718124629892756
Horizontal_Copolar,Amplitude,False,0.9,-0.1439896632895322,-0.25359634031477607,-0.22279311579820416
Horizontal_Copolar,Amplitude,False,0.9,-0.13962634015954636,-0.24057618409489812,-0.2088572553531307
Horizontal_Copolar,Amplitude,False,0.9,-0.13526301702956056,-0.2267182698340633,-0.1953739302823898
Horizontal_Copolar,Amplitude,False,0.9,-0.13089969389957473,-0.21287780886574836,-0.18234339728906335
Horizontal_Copolar,Amplitude,False,0.9,-0.1265363707695889,-0.1984439359517549,-0.16976590445571205
Horizontal_Copolar,Amplitude,False,0.9,-0.12217304763960307,-0.18394024986768231,-0.1576416912396681
Horizontal_Copolar,Amplitude,False,0.9,-0.11780972450961724,-0.16987289609660783,-0.14597098846848056
Horizontal_Copolar,Amplitude,False,0.9,-0.11344640137963143,-0.1568876464617701,-0.13475401833549938
Horizontal_Copolar,Amplitude,False,0.9,-0.1090830782496456,-0.14411183633717162,-0.12399099439567252
Horizontal_Copolar,Amplitude,False,0.9,-0.10471975511965977,-0.13060298792673541,-0.11368212156146029
