DATASET,FREQ,DZ,DZ_err_low,DZ_err_high,PHI_0,PHI_0_err_low,PHI_0_err_high,DXY,DXY_err_low,DXY_err_high,METHOD,SMOOTH,WEIGHT,BOOTSTRAP,R2,Chi2,cramer,KS,KS_res,Wavelength_cm,DZ_lambda,DZ_err_low_lambda,DZ_err_high_lambda,DZ_phys,DZ_err_low_phys,DZ_err_high_phys
Horizontal_Copolar,0.9,23.764052855396837,0.4107306161693169,0.4107306161693169,-1361.8415307475193,23.458579665768355,23.458579665768355,0.028592698757521046,0.0037398905464625146,0.06536980784252674,OLS,Raw,s_AMP,1,0.9667878660434384,0.0012238953141974025,0.6562748187196927,0.34159789668497503,6.7036192923635085e-25,33.31,3.27271413360744,0.05656458941671416,0.05656458941671416,109.0150016050572,1.8841819218886138,1.8841819218886138
Horizontal_Copolar,0.925,23.984751171852732,0.40146695480873074,0.40146695480873074,-1374.7975400115126,22.93682131493664,22.93682131493664,0.011386702637372641,0.003792368547744142,0.06389545034586006,OLS,Raw,s_AMP,1,0.9808546544068402,0.0006386379975910185,0.7802932970231344,0.5134850295828122,8.883084436480644e-24,32.41,3.4335578115403385,0.05747234936406257,0.05747234936406257,111.28159308181392,1.8626785819337357,1.8626785819337357
Horizontal_Copolar,0.95,21.764684617563706,0.40857154396638096,0.40857154396638096,-1246.6241648419177,23.34742931502332,23.34742931502332,0.001803853511890928,0.0034228591972208125,0.06502618082893717,OLS,Raw,s_AMP,1,0.9887636639550774,0.0003064383802472963,0.9999999906395499,0.9999992565498265,4.8430609788180034e-23,31.56,3.9828612835773427,0.07476716582981995,0.07476716582981995,125.68755516596701,2.359434991770035,2.359434991770035
Horizontal_Copolar,0.975,23.626131002122985,0.2685452083226552,0.2685452083226552,-1353.1423369245051,15.339310693498454,15.339310693498454,0.0054223354027104435,0.0020315062655796804,0.04274029734819337,OLS,Raw,s_AMP,1,0.9919475182565619,0.00021339887831959482,0.9392253838290537,0.6961099797485474,2.65912771373775e-22,30.75,3.882571796103111,0.04413105352368046,0.04413105352368046,119.38110175540784,1.3569391805121769,1.3569391805121769
Horizontal_Copolar,1.0,27.85713734362608,0.6354567640556336,0.6354567640556336,-1596.8799764278538,36.322796419784225,36.322796419784225,0.06386188191492521,0.004325710454088043,0.10113608512063432,OLS,Raw,s_AMP,1,0.9311431493984795,0.0018238351832353722,0.7408625462559448,0.43651137785735566,3.2246419458323565e-21,29.98,3.4051551285286514,0.07767592313563268,0.07767592313563268,102.08398258529104,2.328665592425039,2.328665592425039
Horizontal_Copolar,1.025,24.97069144419635,0.4371671286740306,0.4371671286740306,-1430.452364538329,24.98462938238379,24.98462938238379,0.006002993232350571,0.0029314662730864534,0.06957730948576263,OLS,Raw,s_AMP,1,0.9596609927102489,0.0008186885240689302,0.9791801897389962,0.9909672163282535,3.017885333809785e-21,29.25,4.060516167319138,0.07108830757724006,0.07108830757724006,118.76215829749695,2.0791939964527635,2.0791939964527635
Horizontal_Copolar,1.05,26.985832627788618,0.4093039583132042,0.4093039583132042,-1546.3576413480835,23.402119053348912,23.402119053348912,0.003183428345384262,0.003069085980739223,0.06514274819262551,OLS,Raw,s_AMP,1,0.9752361354823289,0.0005536883911267216,0.8468139179038106,0.7680228510033488,1.22264684340433e-20,28.55,3.935765392851293,0.05969518808277609,0.05969518808277609,112.37264583183092,1.7043968729626429,1.7043968729626429
Horizontal_Copolar,1.075,25.584388017649985,0.4055900198956211,0.4055900198956211,-1466.835011505414,23.198244952433583,23.198244952433583,0.018462251963759665,0.0028320719160540918,0.06455165653512827,OLS,Raw,s_AMP,1,0.9847482057894926,0.00025633339308556044,0.9072025447065176,0.7436107023680757,5.862632733349922e-20,27.89,4.354781135953264,0.06903646733132202,0.06903646733132202,121.44470146971732,1.9252662542226722,1.9252662542226722
Horizontal_Copolar,1.1,23.34887663701382,0.24192878689762967,0.24192878689762967,-1337.5343872665183,13.832778882190919,13.832778882190919,0.010608044172726178,0.0016277268163665936,0.038504162310983525,OLS,Raw,s_AMP,1,0.9941673753009779,9.223687240791437e-05,0.9524888882206078,0.8584975367198263,3.897563933267873e-20,27.25,4.906542728448612,0.0508390167376709,0.0508390167376709,133.7222277130578,1.385559435462682,1.385559435462682
Horizontal_Copolar,1.125,25.84251461117425,0.3753049943641009,0.3753049943641009,-1480.7216882339721,21.466976117095037,21.466976117095037,0.04177220893584577,0.002537133636978187,0.059731645020122584,OLS,Raw,s_AMP,1,0.9716010761504359,0.0004689850891858921,0.9643676472970472,0.9989311440437575,5.618538568520932e-20,26.65,4.705636824508233,0.06833889923149863,0.06833889923149863,125.39683822885671,1.8211099180111368,1.8211099180111368
Horizontal_Copolar,1.15,25.717816026215054,0.2807585649681075,0.2807585649681075,-1473.542564595209,16.057132161574707,16.057132161574707,0.0017208753194149367,0.0017706040841269288,0.04468411343006135,OLS,Raw,s_AMP,1,0.9895357797895862,0.00013944374666805586,0.9993475266646706,0.9981164707075931,8.798290152793188e-19,26.07,4.921452126629967,0.05372695081197469,0.05372695081197469,128.2968895627587,1.400603012588434,1.400603012588434
Horizontal_Copolar,1.175,24.73017032878528,0.1739002708736461,0.1739002708736461,-1417.0628791871457,9.945506930901319,9.945506930901319,0.0025469382831806173,0.001014522726582913,0.02767708771456033,OLS,Raw,s_AMP,1,0.9943358161500243,6.65569292376366e-05,0.999999808712003,0.9999708747063956,2.18416316053849e-18,25.51,5.274609727328272,0.037090567842450024,0.037090567842450024,134.57772043799596,0.9463380852854341,0.9463380852854341
Horizontal_Copolar,1.2,25.240590294784027,0.3128991338351871,0.3128991338351871,-1446.197768847228,17.89992050737378,17.89992050737378,0.004298485941558701,0.001945618924183695,0.04979944383904254,OLS,Raw,s_AMP,1,0.9924024676553291,8.034768661604333e-05,0.9997138266792044,0.999960530775474,6.1610989288129986e-18,24.98,5.38934277261569,0.06680987511773262,0.06680987511773262,134.64035973391606,1.6690913900181752,1.6690913900181752
Horizontal_Copolar,1.225,28.07294394911024,0.3497503421618443,0.3497503421618443,-1608.9068319599908,20.00900861820084,20.00900861820084,0.008985266353361188,0.0022479107452460386,0.05566449580313926,OLS,Raw,s_AMP,1,0.9748681641630486,0.0002972969853845194,0.9347139844626865,0.910829140359655,6.2925516841792326e-18,24.47,5.134528593874195,0.06396917743299915,0.06396917743299915,125.6565671697003,1.5655083215409753,1.5655083215409753
Horizontal_Copolar,1.25,28.357446679661365,0.23306908501129484,0.23306908501129484,-1624.7324439646286,13.331306144081335,13.331306144081335,0.02523310093953193,0.0013320057029049875,0.037094096961452744,OLS,Raw,s_AMP,1,0.9930647397662551,8.500024684379172e-05,0.9999950282887804,0.9966899221363298,1.3304148561891736e-17,23.98,5.2852174839127555,0.04343905912885786,0.04343905912885786,126.75746724534243,1.0418161847558107,1.0418161847558107
Horizontal_Copolar,1.275,27.871052111472096,0.273552417014793,0.273552417014793,-1596.821793168759,15.646804778160325,15.646804778160325,0.016145675061343234,0.001455528578366163,0.0435372193626398,OLS,Raw,s_AMP,1,0.990444237542371,9.843860976396097e-05,0.9999954153150146,0.9999275913376904,3.5854697157364754e-17,23.51,5.558598489662041,0.05455725338176032,0.05455725338176032,130.70007092163692,1.2828120072977833,1.2828120072977833
Horizontal_Copolar,1.3,29.29400041463593,0.38824729648254164,0.38824729648254164,-1678.5190702519453,22.2140582801752,22.2140582801752,0.01827194203145373,0.0022441718572893095,0.06179147637726113,OLS,Raw,s_AMP,1,0.9689851642742519,0.00032053349059746913,0.9024878942007714,0.776789218251814,4.180583337455765e-17,23.06,5.528098139378206,0.07326650941915852,0.07326650941915852,127.48324071303222,1.6895959190653602,1.6895959190653602
Vertical_Copolar,0.9,19.815471704119265,1.095467528760553,1.095467528760553,-1138.0560509642032,62.577710867411284,62.577710867411284,0.04974927068335525,0.008973857060845154,0.17434907219890505,OLS,Raw,s_AMP,1,0.8867811600761393,0.0035610197184005243,0.6207084971322022,0.32008079607738543,1.2814247364153428e-20,33.31,3.9011503420327527,0.21566902813732203,0.21566902813732203,129.9483833406155,7.183994228862103,7.183994228862103
Vertical_Copolar,0.925,36.59388297372442,1.6984834935050344,1.6984834935050344,-2104.275991677974,96.94981603073907,96.94981603073907,0.0817546069581289,0.013300609634228213,0.27032204375131735,OLS,Raw,s_AMP,1,0.8547023161756786,0.010625650504492018,0.40358192432188833,0.16683938305189958,3.2254086735645992e-18,32.41,1.4267521571752422,0.06622185981260495,0.06622185981260495,46.24103093582359,2.146250175843487,2.146250175843487
