ANGLE,PHASE,PREDICTED,DATASET,WEIGHT,SMOOTH,METHOD,BOOTSTRAP,FREQ,RESIDUALS
-0.2399827721492203,-0.5866226148878138,-0.6252547525579821,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.038632137670168376
-0.2356194490192345,-0.5700768935789078,-0.6019599999860787,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.03188310640717096
-0.23125612588924868,-0.5541943973857593,-0.5791027541409619,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.024908356755202643
-0.22689280275926285,-0.5388005933831692,-0.5566834501916453,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.017882856808476122
-0.22252947962927702,-0.5223944984144226,-0.5347025149693572,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.01230801655493452
-0.21816615649929122,-0.5073846668472715,-0.5131603669594185,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.005775700112147009
-0.2138028333693054,-0.4921130358923209,-0.4920574162932745,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-5.5619599046430324e-05
-0.20943951023931956,-0.477661709685808,-0.47139406474069645,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.006267644945111561
-0.20507618710933373,-0.4618490266627393,-0.4511707057021006,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.010678320960638699
-0.2007128639793479,-0.4451811323061934,-0.43138772420109817,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.013793408105095217
-0.1963495408493621,-0.4294906223307644,-0.4120454968771341,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.017445125453630306
-0.19198621771937627,-0.41479495002897204,-0.39314439197834616,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.02165055805062588
-0.18762289458939044,-0.39983747833938077,-0.37468476935451633,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.025152708984864436
-0.1832595714594046,-0.3848451000647495,-0.35666698045025313,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.028178119614496344
-0.17889624832941878,-0.36898005716412086,-0.3390913682982877,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.02988868886583318
-0.17453292519943298,-0.3533419070662518,-0.32195826751293666,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.031383639553315135
-0.17016960206944715,-0.33866368805697955,-0.30526800428374656,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.03339568377323299
-0.16580627893946132,-0.324683600748505,-0.28902089636926576,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.03566270437923924
-0.16144295580947549,-0.3106686068549904,-0.2732172530910155,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.037451353763974904
-0.15707963267948968,-0.29668851954651587,-0.25785737532757835,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.03883114421893752
-0.15271630954950385,-0.2819753939522036,-0.2429415555088923,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.03903383844331132
-0.14835298641951802,-0.2675415210382106,-0.22847007761065186,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.03907144342755875
-0.1439896632895322,-0.25359634031477607,-0.2144432171489541,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.03915312316582198
-0.13962634015954636,-0.24057618409489812,-0.20086124117498727,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.039714942919910845
-0.13526301702956056,-0.2267182698340633,-0.1877244082700109,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.03899386156405238
-0.13089969389957473,-0.21287780886574836,-0.17503296854037487,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.0378448403253735
