DATASET,FREQ,DZ,DZ_err_low,DZ_err_high,PHI_0,PHI_0_err_low,PHI_0_err_high,DXY,DXY_err_low,DXY_err_high,METHOD,SMOOTH,WEIGHT,BOOTSTRAP,R2,Chi2,cramer,KS,KS_res,Wavelength_cm,DZ_lambda,DZ_err_low_lambda,DZ_err_high_lambda,DZ_phys,DZ_err_low_phys,DZ_err_high_phys,DXY_lam,DXY_lam_err_low,DXY_lam_err_high,DXY_phys,DXY_err_low_phys,DXY_err_high_phys
Horizontal_Copolar,0.9,24.410756894220757,0.38853186287402364,0.38853186287402364,-1398.7097818608295,22.184791026285176,22.184791026285176,-0.15497160851553626,0.022260957900399406,0.022260957900399406,OLS,Raw,s_AMP,1,0.9604704941259036,0.001456695829154545,0.6860461068963097,0.43340126868876455,3.563150548556088e-25,33.31,3.16978798911112,0.05045167741671384,0.05045167741671384,105.58650362161109,1.6805591536644144,1.6805591536644144,0.02466449753414966,0.0035429414878091455,0.061836766525103316,0.8215744128625252,0.11801538095892264,2.0597826929511918
Horizontal_Copolar,0.925,23.950543561057383,0.4390576701935774,0.4390576701935774,-1373.0483624704275,25.090651700960446,25.090651700960446,0.10650800455770014,0.023516470666293435,0.023516470666293435,OLS,Raw,s_AMP,1,0.9764734307281432,0.0007847840101321052,0.7365862932380352,0.32008079607738543,5.2237738138943006e-24,32.41,3.439002121889782,0.06304325643292565,0.06304325643292565,111.45804315551929,2.0432316547406586,2.0432316547406586,0.016951275404212096,0.003742762550616158,0.06987819851371896,0.549390835850514,0.12130293426546966,2.264752413829631
Horizontal_Copolar,0.95,21.480134765983458,0.36910496625706507,0.36910496625706507,-1230.3896534868304,21.093689094805757,21.093689094805757,0.028084506592949532,0.017926094952503083,0.017926094952503083,OLS,Raw,s_AMP,1,0.9901451715317838,0.0002687617797600243,0.9999978883244188,0.9952486432790446,3.323941631910462e-23,31.56,4.0281487990124045,0.06921789563873987,0.06921789563873987,127.11669785743966,2.1843161127500323,2.1843161127500323,0.004469788048564842,0.0028530266220255407,0.05874487989957914,0.1410665108127064,0.09004152019112606,1.8539884096307175
Horizontal_Copolar,0.975,23.69532647529618,0.2955015309552226,0.2955015309552226,-1357.1454069404126,16.879268641236134,16.879268641236134,-0.031818549738036085,0.013653710738571724,0.013653710738571724,OLS,Raw,s_AMP,1,0.9915170543464263,0.00022480660559011636,0.9462069012973381,0.6961099797485474,2.407912745315979e-22,30.75,3.871558994508014,0.0482817407581754,0.0482817407581754,119.04248074416061,1.4845642808627884,1.4845642808627884,0.005064079472823775,0.002173055555590583,0.0470305293427464,0.1557204437893311,0.06682145833441043,1.446188777289452
Horizontal_Copolar,1.0,27.74403918701528,0.6492455035193567,0.6492455035193567,-1590.2073081543676,37.12902271468088,37.12902271468088,-0.39977049563433104,0.03021461751312939,0.03021461751312939,OLS,Raw,s_AMP,1,0.9367277250162197,0.0016759146000821265,0.8092419060423685,0.6712813718081443,4.619156938567763e-21,29.98,3.4231552592078414,0.08010614982585106,0.08010614982585106,102.6236129273546,2.401521955720816,2.401521955720816,0.06362545048250075,0.004808805730845492,0.10333063116529216,1.9074910054653724,0.14416799581074785,3.097852322335459
Horizontal_Copolar,1.025,24.653785244926535,0.4224916215171725,0.4224916215171725,-1412.3778067093692,24.159204353364956,24.159204353364956,0.050833528633517484,0.0189615963316528,0.0189615963316528,OLS,Raw,s_AMP,1,0.960168847606442,0.0008083815035609859,0.9777350208013202,0.9909672163282535,4.1507753446546306e-21,29.25,4.110953355429395,0.07044935825723754,0.07044935825723754,120.23734742902693,2.060505978191204,2.060505978191204,0.008090407356827707,0.0030178317850956928,0.06724162997936818,0.23664441518721044,0.08827157971404902,1.9668176768965193
Horizontal_Copolar,1.05,26.971255029651132,0.39636698000997855,0.39636698000997855,-1545.5192972973741,22.66369280640714,22.66369280640714,-0.04105866607802492,0.017621002585020383,0.017621002585020383,OLS,Raw,s_AMP,1,0.9773849229856851,0.0005056442462091338,0.8460572910214579,0.7680228510033488,1.3755497251553285e-20,28.55,3.9380854896532806,0.057873727078660855,0.057873727078660855,112.4388884530753,1.6523911328126568,1.6523911328126568,0.00653468966307719,0.0028044696636410596,0.06308376414699456,0.18656538988085378,0.08006760889695225,1.8010414663966947
Horizontal_Copolar,1.075,26.074777059589977,0.42655134576092324,0.42655134576092324,-1494.8589553025233,24.389313738030797,24.389313738030797,-0.14661886131979326,0.019092329762575282,0.019092329762575282,OLS,Raw,s_AMP,1,0.9777472462096217,0.00037399690855096404,0.8995707225237357,0.7436107023680757,5.1082977108711076e-20,27.89,4.276733295890415,0.06996210700684287,0.06996210700684287,119.26812902190036,1.951080188506088,1.951080188506088,0.02333511652955019,0.003038638656854369,0.06788775516035112,0.6508164000091549,0.08474763213966835,1.8933894914221927
Horizontal_Copolar,1.1,23.340045099363703,0.27723152351241975,0.27723152351241975,-1336.9718910618744,15.848463966986767,15.848463966986767,0.12158436118451468,0.010775140424275942,0.010775140424275942,OLS,Raw,s_AMP,1,0.991010290126309,0.00014216287955966532,0.9161450233660308,0.7436107023680757,4.5210022728119776e-20,27.25,4.90794831132073,0.058296287855277004,0.058296287855277004,133.76053527161736,1.5887988571280947,1.5887988571280947,0.019350752085185885,0.0017149168610328185,0.04412276734789861,0.5273079943213154,0.046731484463144304,1.202345410230237
Horizontal_Copolar,1.125,25.283924129454206,0.3382233383256638,0.3382233383256638,-1448.7402494949665,19.345777215575943,19.345777215575943,0.27757069336270224,0.01443809194608924,0.01443809194608924,OLS,Raw,s_AMP,1,0.9794114525917478,0.00034000308580761147,0.9723614751780538,0.9867549171049715,6.819347527911943e-20,26.65,4.794539260838062,0.06413660578284275,0.06413660578284275,127.76592977636851,1.7091262840369283,1.7091262840369283,0.04417674790611881,0.0022978937020353856,0.05382991616357189,1.1773103316980662,0.061238867159243024,1.4345672657591908
