DATASET,WEIGHT,SMOOTH,FREQ,METHOD,ANGLE,PHASE,PREDICTED
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.2399827721492203,-0.5866226148878138,-0.6426675766319008
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.2356194490192345,-0.5700768935789078,-0.6188704876183699
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.23125612588924868,-0.5541943973857593,-0.5955179694492259
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.22689280275926285,-0.5388005933831692,-0.572610466722768
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.22252947962927702,-0.5223944984144226,-0.5501484155648129
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.21816615649929122,-0.5073846668472715,-0.5281322436204405
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.2138028333693054,-0.4921130358923209,-0.5065623700458346
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.20943951023931956,-0.477661709685808,-0.4854392055002883
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.20507618710933373,-0.4618490266627393,-0.46476315213841346
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.2007128639793479,-0.4451811323061934,-0.444534603602456
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.1963495408493621,-0.4294906223307644,-0.4247539450148281
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.19198621771937627,-0.41479495002897204,-0.40542155297074345
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.18762289458939044,-0.39983747833938077,-0.38653779553109757
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.1832595714594046,-0.3848451000647495,-0.36810303221539087
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.17889624832941878,-0.36898005716412086,-0.3501176139949642
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.17453292519943298,-0.3533419070662518,-0.3325818832862417
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.17016960206944715,-0.33866368805697955,-0.31549617394426477
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.16580627893946132,-0.324683600748505,-0.2988608112563078
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.16144295580947549,-0.3106686068549904,-0.2826761119356931
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.15707963267948968,-0.29668851954651587,-0.26694238411577587
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.15271630954950385,-0.2819753939522036,-0.2516599273440505
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.14835298641951802,-0.2675415210382106,-0.2368290325764626
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.1439896632895322,-0.25359634031477607,-0.22244998217186662
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.13962634015954636,-0.24057618409489812,-0.20852304988666504
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.13526301702956056,-0.2267182698340633,-0.19504850086956438
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.13089969389957473,-0.21287780886574836,-0.18202659165656243
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.1265363707695889,-0.1984439359517549,-0.16945757016603125
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.12217304763960307,-0.18394024986768231,-0.15734167569403112
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.11780972450961724,-0.16987289609660783,-0.1456791389097205
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.11344640137963143,-0.1568876464617701,-0.13447018185099324
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.1090830782496456,-0.14411183633717162,-0.1237150179202331
Horizontal_Copolar,Amplitude,False,0.9,OLS,-0.10471975511965977,-0.13060298792673541,-0.11341385188025654
