FREQ,ANGLE,PHASE,AMPLITUDE,FWHM,THETA_CUT,THETA_MAX,DATASET,PHASE_SM,s_AMP,s_Uniform
0.9,-0.2399827721492203,-0.5866226148878138,-9.606000000000002,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.5864589166039451,9.132716996648169,1.0
0.9,-0.2356194490192345,-0.5700768935789078,-9.211000000000002,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.5704900367531501,8.33873168908596,1.0
0.9,-0.23125612588924868,-0.5541943973857593,-8.845000000000002,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.5545941235153533,7.664785401625916,1.0
0.9,-0.22689280275926285,-0.5388005933831692,-8.494,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.5387711768905544,7.069683964494022,1.0
0.9,-0.22252947962927702,-0.5223944984144226,-8.129999999999999,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.5230211968787536,6.501296903430906,1.0
0.9,-0.21816615649929122,-0.5073846668472715,-7.760000000000002,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.5073441834799508,5.970352865838371,1.0
0.9,-0.2138028333693054,-0.4921130358923209,-7.365000000000002,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.4917401366941462,5.451298956889109,1.0
0.9,-0.20943951023931956,-0.477661709685808,-6.994,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.4762090565213395,5.004952959591684,1.0
0.9,-0.20507618710933373,-0.4618490266627393,-6.649000000000001,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.46075094296153085,4.622745664910892,1.0
0.9,-0.2007128639793479,-0.4451811323061934,-6.324999999999999,0.24283768083778534,0.3141592653589793,0.24283768083778534,Horizontal_Copolar,-0.44536579601472037,4.290421892388854,1.0
