DATASET,WEIGHT,SMOOTH,FREQ,DZ,DZ_err_low,DZ_err_high,PHI_0,PHI_0_err_low,PHI_0_err_high,DXY,DXY_err_low,DXY_err_high,R2,Chi2,cramer,KS,KS_res,Wavelength_cm,DZ_phys,DZ_err_low_phys,DZ_err_high_phys,DXY_phys,DXY_err_low_phys,DXY_err_high_phys
Horizontal_Copolar,Amplitude,False,0.9,-3.7452507479875576,7.5555840464794315,7.566541799932852,-1373.8537268517966,-1375.8443065574713,-1371.9350545093337,0.031293637784139586,0.06288741271682995,0.062287785966664524,0.9624200469376435,0.0013848531539988446,0.6968617328723993,0.43340126868876455,8.132924852289241e-25,33.31,-124.7553252850587,376.43389338724256,376.79889914746025,1.0423996212298754,1.052397271618892,1.032423540806154
Horizontal_Copolar,Amplitude,False,0.925,-3.7714396849658325,7.610241075288663,7.62045551488878,-1384.6157339465944,-1386.4419018141978,-1382.812986919168,0.015227854275045773,0.0002752485514320689,0.00026753847194929334,0.9753280606361658,0.0008229905213952075,0.7244450647578353,0.32008079607738543,5.271290277901879e-24,32.41,-122.23234306536784,368.8802217608653,369.21127170192597,0.4935346879115438,0.48461388360940766,0.4848637672504365
Horizontal_Copolar,Amplitude,False,0.95,-3.3707442110469525,6.811053966515038,6.820716620683611,-1239.9540246586007,-1241.6736318152794,-1238.2344397831748,0.002249410707397791,0.0002701739777334466,0.0002773017767618946,0.9890877881647578,0.0002975988352731758,0.9999959269709209,0.9952486432790446,4.730383576137433e-23,31.56,-106.37091498095123,321.3080318432873,321.6129571952874,0.07098488052866342,0.06245897306841634,0.06223404039569335
Horizontal_Copolar,Amplitude,False,0.975,-3.675820560138298,7.423968083029299,7.432331102410293,-1350.255854304653,-1351.739206457762,-1348.8230132061503,0.0003991536004132628,0.0010290627805560146,0.0005700735855712225,0.9910867674189274,0.00023620964264247258,0.9232713766602777,0.5765169937891337,4.371968864979657e-22,30.75,-113.02392624520995,341.29568416571266,341.55282982074135,0.012273152716660704,0.019368412454539526,0.005255438202238798
Horizontal_Copolar,Amplitude,False,1.0,-4.2056038668928775,8.480892695886432,8.498492626291167,-1542.9906338842738,-1546.073119082693,-1539.8530103299966,0.05797066121104309,0.11630966278165207,0.11558161475485712,0.9535389229686931,0.0012306305937674585,0.7924723260017568,0.5497554710458715,4.869197980963589e-21,29.98,-126.08083206301205,380.3315987964161,380.8592314360825,1.7379167016343866,1.7489592678118726,1.7271329370623818
Horizontal_Copolar,Amplitude,False,1.025,-3.8480680828693647,7.770919793694221,7.782122702450251,-1414.0269669674944,-1416.0639117341807,-1412.0454233942198,0.004990301092483959,0.0002825241488388754,0.00029836782920990203,0.9637578329929863,0.0007355423003572549,0.9746934872183513,0.9909672163282535,3.2920230137050325e-21,29.25,-112.54846723070777,339.8326765841169,340.16033975999204,0.1459565493342294,0.1376932704049841,0.1372298737335503
Horizontal_Copolar,Amplitude,False,1.05,-4.222275177592766,8.521974890159942,8.53195644984536,-1549.7238931159325,-1551.5392440668104,-1547.9293959641248,0.0029302132481468833,0.006118346340411869,0.005584177632141635,0.9756003251977577,0.0005455455741016645,0.9088052047294525,0.7680228510033488,1.3985194342255817e-20,28.55,-120.55297655646875,363.8695288741191,364.1545189991444,0.08366246020248744,0.09102650058678674,0.07577509582116596
Horizontal_Copolar,Amplitude,False,1.075,-3.957517969707308,7.993848052636798,8.004646128830244,-1456.0313156767013,-1457.9685760354964,-1454.071065417031,0.02090409042451373,0.04203423830038233,0.0415883346566329,0.9855581465272963,0.00024272090561989592,0.918339993232613,0.7436107023680757,5.3640105330816905e-20,27.89,-110.36595718304403,333.2957577949974,333.5968909860397,0.5829663861041148,0.589270601824198,0.5768353879273793
Horizontal_Copolar,Amplitude,False,1.1,-3.609319157863435,7.301637772362685,7.308227879788658,-1330.128941107097,-1331.300956959075,-1328.942289045536,0.015097153884739504,0.00017371463453980975,0.00017024034857835053,0.993310570530222,0.00010578634565483136,0.9418531573126029,0.8584975367198263,3.399928156091359e-20,27.25,-98.36787836748812,297.36569065860215,297.54529652257634,0.41145571562820954,0.40672132133009486,0.40681600903265674
Horizontal_Copolar,Amplitude,False,1.125,-3.967353477691737,8.018959240501967,8.026741174730109,-1460.0368212659937,-1461.476318467391,-1458.6192031765818,0.04172374016998173,0.00023374195938405395,0.00024404901319742545,0.977601145361179,0.0003698988347620273,0.9813164805434432,0.9989311440437575,6.214223350523674e-20,26.65,-105.72290229618258,319.41388019057354,319.6212548741512,1.1118633442233032,1.105634537419616,1.1053598727976206
Horizontal_Copolar,Amplitude,False,1.15,-4.050408437509731,8.187419707477005,8.194434084212483,-1490.598158922262,-1491.8566774908797,-1489.3084498860462,0.00043264459844354427,0.0010487042084894704,0.0006843453234021933,0.9872542371764815,0.00016984704894542222,0.9978596791014782,0.9806242533581482,8.658908823433033e-19,26.07,-105.5897305552158,319.0268330580134,319.20969020956704,0.01127857283546201,0.01606000215392954,0.00656156339267264
Horizontal_Copolar,Amplitude,False,1.175,-3.8658047549040937,7.821160067342417,7.826240798291954,-1424.958328289254,-1425.870616602774,-1424.0602515395983,0.0005514186370536248,0.0001004142177444284,9.38127555655965e-05,0.9942984541383248,6.699595113994834e-05,0.9999996421900714,0.9999708747063956,2.3224173082752652e-18,25.51,-98.6331157124073,298.18416260602675,298.3137936545202,0.014069033922494985,0.01150704029221844,0.011675471660132147
